DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019
7,22,111,Louisiana,Union Parish,22108
7,22,113,Louisiana,Vermilion Parish,59511
7,22,115,Louisiana,Vernon Parish,47429
7,22,117,Louisiana,Washington Parish,46194
7,22,119,Louisiana,Webster Parish,38340
7,22,121,Louisiana,West Baton Rouge Parish,26465
7,22,123,Louisiana,West Carroll Parish,10830
7,22,125,Louisiana,West Feliciana Parish,15568
7,22,127,Louisiana,Winn Parish,13904
1,23,0,Maine,Maine,1344212
1,23,1,Maine,Androscoggin County,108277
1,23,3,Maine,Aroostook County,67055
1,23,5,Maine,Cumberland County,295003
1,23,7,Maine,Franklin County,30199
1,23,9,Maine,Hancock County,54987
1,23,11,Maine,Kennebec County,122302
1,23,13,Maine,Knox County,39772
1,23,15,Maine,Lincoln County,34634
1,23,17,Maine,Oxford County,57975
1,23,19,Maine,Penobscot County,152148
1,23,21,Maine,Piscataquis County,16785
1,23,23,Maine,Sagadahoc County,35856
1,23,25,Maine,Somerset County,50484
1,23,27,Maine,Waldo County,39715
1,23,29,Maine,Washington County,31379
1,23,31,Maine,York County,207641
5,24,0,Maryland,Maryland,6045680
5,24,1,Maryland,Allegany County,70416
5,24,3,Maryland,Anne Arundel County,579234
5,24,5,Maryland,Baltimore County,827370
5,24,9,Maryland,Calvert County,92525
5,24,11,Maryland,Caroline County,33406
5,24,13,Maryland,Carroll County,168447
5,24,15,Maryland,Cecil County,102855
5,24,17,Maryland,Charles County,163257
5,24,19,Maryland,Dorchester County,31929
5,24,21,Maryland,Frederick County,259547
5,24,23,Maryland,Garrett County,29014
5,24,25,Maryland,Harford County,255441
5,24,27,Maryland,Howard County,325690
5,24,29,Maryland,Kent County,19422
5,24,31,Maryland,Montgomery County,1050688
5,24,33,Maryland,Prince George's County,909327
5,24,35,Maryland,Queen Anne's County,50381
5,24,37,Maryland,St. Mary's County,113510
5,24,39,Maryland,Somerset County,25616
5,24,41,Maryland,Talbot County,37181
5,24,43,Maryland,Washington County,151049
5,24,45,Maryland,Wicomico County,103609
5,24,47,Maryland,Worcester County,52276
5,24,510,Maryland,Baltimore city,593490
1,25,0,Massachusetts,Massachusetts,6892503
1,25,1,Massachusetts,Barnstable County,212990
1,25,3,Massachusetts,Berkshire County,124944
1,25,5,Massachusetts,Bristol County,565217
1,25,7,Massachusetts,Dukes County,17332
1,25,9,Massachusetts,Essex County,789034
1,25,11,Massachusetts,Franklin County,70180
1,25,13,Massachusetts,Hampden County,466372
1,25,15,Massachusetts,Hampshire County,160830
1,25,17,Massachusetts,Middlesex County,1611699
1,25,19,Massachusetts,Nantucket County,11399
1,25,21,Massachusetts,Norfolk County,706775
1,25,23,Massachusetts,Plymouth County,521202
1,25,25,Massachusetts,Suffolk County,803907
1,25,27,Massachusetts,Worcester County,830622
3,26,0,Michigan,Michigan,9986857
3,26,1,Michigan,Alcona County,10405
3,26,3,Michigan,Alger County,9108
3,26,5,Michigan,Allegan County,118081
3,26,7,Michigan,Alpena County,28405
3,26,9,Michigan,Antrim County,23324
3,26,11,Michigan,Arenac County,14883
3,26,13,Michigan,Baraga County,8209
3,26,15,Michigan,Barry County,61550
3,26,17,Michigan,Bay County,103126
3,26,19,Michigan,Benzie County,17766
3,26,21,Michigan,Berrien County,153401
3,26,23,Michigan,Branch County,43517
3,26,25,Michigan,Calhoun County,134159
3,26,27,Michigan,Cass County,51787
3,26,29,Michigan,Charlevoix County,26143
3,26,31,Michigan,Cheboygan County,25276
3,26,33,Michigan,Chippewa County,37349
3,26,35,Michigan,Clare County,30950
3,26,37,Michigan,Clinton County,79595
3,26,39,Michigan,Crawford County,14029
3,26,41,Michigan,Delta County,35784
3,26,43,Michigan,Dickinson County,25239
3,26,45,Michigan,Eaton County,110268
3,26,47,Michigan,Emmet County,33415
3,26,49,Michigan,Genesee County,405813
3,26,51,Michigan,Gladwin County,25449
3,26,53,Michigan,Gogebic County,13975
3,26,55,Michigan,Grand Traverse County,93088
3,26,57,Michigan,Gratiot County,40711
3,26,59,Michigan,Hillsdale County,45605
3,26,61,Michigan,Houghton County,35684
3,26,63,Michigan,Huron County,30981
3,26,65,Michigan,Ingham County,292406
3,26,67,Michigan,Ionia County,64697
3,26,69,Michigan,Iosco County,25127
3,26,71,Michigan,Iron County,11066
3,26,73,Michigan,Isabella County,69872
3,26,75,Michigan,Jackson County,158510
3,26,77,Michigan,Kalamazoo County,265066
3,26,79,Michigan,Kalkaska County,18038
3,26,81,Michigan,Kent County,656955
3,26,83,Michigan,Keweenaw County,2116
3,26,85,Michigan,Lake County,11853
3,26,87,Michigan,Lapeer County,87607
3,26,89,Michigan,Leelanau County,21761
3,26,91,Michigan,Lenawee County,98451
3,26,93,Michigan,Livingston County,191995
3,26,95,Michigan,Luce County,6229
3,26,97,Michigan,Mackinac County,10799
3,26,99,Michigan,Macomb County,873972
3,26,101,Michigan,Manistee County,24558
3,26,103,Michigan,Marquette County,66699
3,26,105,Michigan,Mason County,29144
3,26,107,Michigan,Mecosta County,43453
3,26,109,Michigan,Menominee County,22780
3,26,111,Michigan,Midland County,83156
3,26,113,Michigan,Missaukee County,15118
3,26,115,Michigan,Monroe County,150500
3,26,117,Michigan,Montcalm County,63888
3,26,119,Michigan,Montmorency County,9328
3,26,121,Michigan,Muskegon County,173566
3,26,123,Michigan,Newaygo County,48980
3,26,125,Michigan,Oakland County,1257584
3,26,127,Michigan,Oceana County,26467
3,26,129,Michigan,Ogemaw County,20997
3,26,131,Michigan,Ontonagon County,5720
3,26,133,Michigan,Osceola County,23460
3,26,135,Michigan,Oscoda County,8241
3,26,137,Michigan,Otsego County,24668
3,26,139,Michigan,Ottawa County,291830
3,26,141,Michigan,Presque Isle County,12592
3,26,143,Michigan,Roscommon County,24019
3,26,145,Michigan,Saginaw County,190539
3,26,147,Michigan,St. Clair County,159128
3,26,149,Michigan,St. Joseph County,60964
3,26,151,Michigan,Sanilac County,41170
3,26,153,Michigan,Schoolcraft County,8094
3,26,155,Michigan,Shiawassee County,68122
3,26,157,Michigan,Tuscola County,52245
3,26,159,Michigan,Van Buren County,75677
3,26,161,Michigan,Washtenaw County,367601
3,26,163,Michigan,Wayne County,1749343
3,26,165,Michigan,Wexford County,33631
4,27,0,Minnesota,Minnesota,5639632
4,27,1,Minnesota,Aitkin County,15886
4,27,3,Minnesota,Anoka County,356921
4,27,5,Minnesota,Becker County,34423
4,27,7,Minnesota,Beltrami County,47188
4,27,9,Minnesota,Benton County,40889
4,27,11,Minnesota,Big Stone County,4991
4,27,13,Minnesota,Blue Earth County,67653
4,27,15,Minnesota,Brown County,25008
4,27,17,Minnesota,Carlton County,35871
4,27,19,Minnesota,Carver County,105089
4,27,21,Minnesota,Cass County,29779
4,27,23,Minnesota,Chippewa County,11800
4,27,25,Minnesota,Chisago County,56579
4,27,27,Minnesota,Clay County,64222
4,27,29,Minnesota,Clearwater County,8818
4,27,31,Minnesota,Cook County,5463
4,27,33,Minnesota,Cottonwood County,11196
4,27,35,Minnesota,Crow Wing County,65055
4,27,37,Minnesota,Dakota County,429021
4,27,39,Minnesota,Dodge County,20934
4,27,41,Minnesota,Douglas County,38141
4,27,43,Minnesota,Faribault County,13653
4,27,45,Minnesota,Fillmore County,21067
4,27,47,Minnesota,Freeborn County,30281
4,27,49,Minnesota,Goodhue County,46340
4,27,51,Minnesota,Grant County,5972
4,27,53,Minnesota,Hennepin County,1265843
4,27,55,Minnesota,Houston County,18600
4,27,57,Minnesota,Hubbard County,21491
4,27,59,Minnesota,Isanti County,40596
4,27,61,Minnesota,Itasca County,45130
4,27,63,Minnesota,Jackson County,9846
4,27,65,Minnesota,Kanabec County,16337
4,27,67,Minnesota,Kandiyohi County,43199
4,27,69,Minnesota,Kittson County,4298
4,27,71,Minnesota,Koochiching County,12229
4,27,73,Minnesota,Lac qui Parle County,6623
4,27,75,Minnesota,Lake County,10641
4,27,77,Minnesota,Lake of the Woods County,3740
4,27,79,Minnesota,Le Sueur County,28887
4,27,81,Minnesota,Lincoln County,5639
4,27,83,Minnesota,Lyon County,25474
4,27,85,Minnesota,McLeod County,35893
4,27,87,Minnesota,Mahnomen County,5527
4,27,89,Minnesota,Marshall County,9336
4,27,91,Minnesota,Martin County,19683
4,27,93,Minnesota,Meeker County,23222
4,27,95,Minnesota,Mille Lacs County,26277
4,27,97,Minnesota,Morrison County,33386
4,27,99,Minnesota,Mower County,40062
4,27,101,Minnesota,Murray County,8194
4,27,103,Minnesota,Nicollet County,34274
4,27,105,Minnesota,Nobles County,21629
4,27,107,Minnesota,Norman County,6375
4,27,109,Minnesota,Olmsted County,158293
4,27,111,Minnesota,Otter Tail County,58746
4,27,113,Minnesota,Pennington County,14119
4,27,115,Minnesota,Pine County,29579
4,27,117,Minnesota,Pipestone County,9126
4,27,119,Minnesota,Polk County,31364
4,27,121,Minnesota,Pope County,11249
4,27,123,Minnesota,Ramsey County,550321
4,27,125,Minnesota,Red Lake County,4055
4,27,127,Minnesota,Redwood County,15170
4,27,129,Minnesota,Renville County,14548
4,27,131,Minnesota,Rice County,66972
4,27,133,Minnesota,Rock County,9315
4,27,135,Minnesota,Roseau County,15165
4,27,137,Minnesota,St. Louis County,199070
4,27,139,Minnesota,Scott County,149013
4,27,141,Minnesota,Sherburne County,97238
4,27,143,Minnesota,Sibley County,14865
4,27,145,Minnesota,Stearns County,161075
4,27,147,Minnesota,Steele County,36649
4,27,149,Minnesota,Stevens County,9805
4,27,151,Minnesota,Swift County,9266
4,27,153,Minnesota,Todd County,24664
4,27,155,Minnesota,Traverse County,3259
4,27,157,Minnesota,Wabasha County,21627
4,27,159,Minnesota,Wadena County,13682
4,27,161,Minnesota,Waseca County,18612
4,27,163,Minnesota,Washington County,262440
4,27,165,Minnesota,Watonwan County,10897
4,27,167,Minnesota,Wilkin County,6207
4,27,169,Minnesota,Winona County,50484
4,27,171,Minnesota,Wright County,138377
4,27,173,Minnesota,Yellow Medicine County,9709
6,28,0,Mississippi,Mississippi,2976149
6,28,1,Mississippi,Adams County,30693
6,28,3,Mississippi,Alcorn County,36953
6,28,5,Mississippi,Amite County,12297
6,28,7,Mississippi,Attala County,18174
6,28,9,Mississippi,Benton County,8259
6,28,11,Mississippi,Bolivar County,30628
6,28,13,Mississippi,Calhoun County,14361
6,28,15,Mississippi,Carroll County,9947
6,28,17,Mississippi,Chickasaw County,17103
6,28,19,Mississippi,Choctaw County,8210
6,28,21,Mississippi,Claiborne County,8988
6,28,23,Mississippi,Clarke County,15541
6,28,25,Mississippi,Clay County,19316
6,28,27,Mississippi,Coahoma County,22124
6,28,29,Mississippi,Copiah County,28065
6,28,31,Mississippi,Covington County,18636
6,28,33,Mississippi,DeSoto County,184945
6,28,35,Mississippi,Forrest County,74897
6,28,37,Mississippi,Franklin County,7713
6,28,39,Mississippi,George County,24500
6,28,41,Mississippi,Greene County,13586
6,28,43,Mississippi,Grenada County,20758
6,28,45,Mississippi,Hancock County,47632
6,28,47,Mississippi,Harrison County,208080
6,28,49,Mississippi,Hinds County,231840
6,28,51,Mississippi,Holmes County,17010
6,28,53,Mississippi,Humphreys County,8064
6,28,55,Mississippi,Issaquena County,1327
6,28,57,Mississippi,Itawamba County,23390
6,28,59,Mississippi,Jackson County,143617
6,28,61,Mississippi,Jasper County,16383
6,28,63,Mississippi,Jefferson County,6990
6,28,65,Mississippi,Jefferson Davis County,11128
6,28,67,Mississippi,Jones County,68098
6,28,69,Mississippi,Kemper County,9742
6,28,71,Mississippi,Lafayette County,54019
6,28,73,Mississippi,Lamar County,63343
6,28,75,Mississippi,Lauderdale County,74125
6,28,77,Mississippi,Lawrence County,12586
6,28,79,Mississippi,Leake County,22786
6,28,81,Mississippi,Lee County,85436
6,28,83,Mississippi,Leflore County,28183
6,28,85,Mississippi,Lincoln County,34153
6,28,87,Mississippi,Lowndes County,58595
6,28,89,Mississippi,Madison County,106272
6,28,91,Mississippi,Marion County,24573
6,28,93,Mississippi,Marshall County,35294
6,28,95,Mississippi,Monroe County,35252
6,28,97,Mississippi,Montgomery County,9775
6,28,99,Mississippi,Neshoba County,29118
6,28,101,Mississippi,Newton County,21018
6,28,103,Mississippi,Noxubee County,10417
6,28,105,Mississippi,Oktibbeha County,49587
6,28,107,Mississippi,Panola County,34192
6,28,109,Mississippi,Pearl River County,55535
6,28,111,Mississippi,Perry County,11973
6,28,113,Mississippi,Pike County,39288
6,28,115,Mississippi,Pontotoc County,32174
6,28,117,Mississippi,Prentiss County,25126
6,28,119,Mississippi,Quitman County,6792
6,28,121,Mississippi,Rankin County,155271
6,28,123,Mississippi,Scott County,28124
6,28,125,Mississippi,Sharkey County,4321
6,28,127,Mississippi,Simpson County,26658
6,28,129,Mississippi,Smith County,15916
6,28,131,Mississippi,Stone County,18336
6,28,133,Mississippi,Sunflower County,25110
6,28,135,Mississippi,Tallahatchie County,13809
6,28,137,Mississippi,Tate County,28321
6,28,139,Mississippi,Tippah County,22015
6,28,141,Mississippi,Tishomingo County,19383
6,28,143,Mississippi,Tunica County,9632
6,28,145,Mississippi,Union County,28815
6,28,147,Mississippi,Walthall County,14286
6,28,149,Mississippi,Warren County,45381
6,28,151,Mississippi,Washington County,43909
6,28,153,Mississippi,Wayne County,20183
6,28,155,Mississippi,Webster County,9689
6,28,157,Mississippi,Wilkinson County,8630
6,28,159,Mississippi,Winston County,17955
6,28,161,Mississippi,Yalobusha County,12108
6,28,163,Mississippi,Yazoo County,29690
4,29,0,Missouri,Missouri,6137428
4,29,1,Missouri,Adair County,25343
4,29,3,Missouri,Andrew County,17712
4,29,5,Missouri,Atchison County,5143
4,29,7,Missouri,Audrain County,25388
4,29,9,Missouri,Barry County,35789
4,29,11,Missouri,Barton County,11754
4,29,13,Missouri,Bates County,16172
4,29,15,Missouri,Benton County,19443
4,29,17,Missouri,Bollinger County,12133
4,29,19,Missouri,Boone County,180463
4,29,21,Missouri,Buchanan County,87364
4,29,23,Missouri,Butler County,42478
4,29,25,Missouri,Caldwell County,9020
4,29,27,Missouri,Callaway County,44743
4,29,29,Missouri,Camden County,46305
4,29,31,Missouri,Cape Girardeau County,78871
4,29,33,Missouri,Carroll County,8679
4,29,35,Missouri,Carter County,5982
4,29,37,Missouri,Cass County,105780
4,29,39,Missouri,Cedar County,14349
4,29,41,Missouri,Chariton County,7426
4,29,43,Missouri,Christian County,88595
4,29,45,Missouri,Clark County,6797
4,29,47,Missouri,Clay County,249948
4,29,49,Missouri,Clinton County,20387
4,29,51,Missouri,Cole County,76745
4,29,53,Missouri,Cooper County,17709
4,29,55,Missouri,Crawford County,23920
4,29,57,Missouri,Dade County,7561
4,29,59,Missouri,Dallas County,16878
4,29,61,Missouri,Daviess County,8278
4,29,63,Missouri,DeKalb County,12547
4,29,65,Missouri,Dent County,15573
4,29,67,Missouri,Douglas County,13185
4,29,69,Missouri,Dunklin County,29131
4,29,71,Missouri,Franklin County,103967
4,29,73,Missouri,Gasconade County,14706
4,29,75,Missouri,Gentry County,6571
4,29,77,Missouri,Greene County,293086
4,29,79,Missouri,Grundy County,9850
4,29,81,Missouri,Harrison County,8352
4,29,83,Missouri,Henry County,21824
4,29,85,Missouri,Hickory County,9544
4,29,87,Missouri,Holt County,4403
4,29,89,Missouri,Howard County,10001
4,29,91,Missouri,Howell County,40117
4,29,93,Missouri,Iron County,10125
4,29,95,Missouri,Jackson County,703011
4,29,97,Missouri,Jasper County,121328
4,29,99,Missouri,Jefferson County,225081
4,29,101,Missouri,Johnson County,54062
4,29,103,Missouri,Knox County,3959
4,29,105,Missouri,Laclede County,35723
4,29,107,Missouri,Lafayette County,32708
4,29,109,Missouri,Lawrence County,38355
4,29,111,Missouri,Lewis County,9776
4,29,113,Missouri,Lincoln County,59013
4,29,115,Missouri,Linn County,11920
4,29,117,Missouri,Livingston County,15227
4,29,119,Missouri,McDonald County,22837
4,29,121,Missouri,Macon County,15117
4,29,123,Missouri,Madison County,12088
4,29,125,Missouri,Maries County,8697
4,29,127,Missouri,Marion County,28530
4,29,129,Missouri,Mercer County,3617
4,29,131,Missouri,Miller County,25619
4,29,133,Missouri,Mississippi County,13180
4,29,135,Missouri,Moniteau County,16132
4,29,137,Missouri,Monroe County,8644
4,29,139,Missouri,Montgomery County,11551
4,29,141,Missouri,Morgan County,20627
4,29,143,Missouri,New Madrid County,17076
4,29,145,Missouri,Newton County,58236
4,29,147,Missouri,Nodaway County,22092
4,29,149,Missouri,Oregon County,10529
4,29,151,Missouri,Osage County,13615
4,29,153,Missouri,Ozark County,9174
4,29,155,Missouri,Pemiscot County,15805
4,29,157,Missouri,Perry County,19136
4,29,159,Missouri,Pettis County,42339
4,29,161,Missouri,Phelps County,44573
4,29,163,Missouri,Pike County,18302
4,29,165,Missouri,Platte County,104418
4,29,167,Missouri,Polk County,32149
4,29,169,Missouri,Pulaski County,52607
4,29,171,Missouri,Putnam County,4696
4,29,173,Missouri,Ralls County,10309
4,29,175,Missouri,Randolph County,24748
4,29,177,Missouri,Ray County,23018
4,29,179,Missouri,Reynolds County,6270
4,29,181,Missouri,Ripley County,13288
4,29,183,Missouri,St. Charles County,402022
4,29,185,Missouri,St. Clair County,9397
4,29,186,Missouri,Ste. Genevieve County,17894
4,29,187,Missouri,St. Francois County,67215
4,29,189,Missouri,St. Louis County,994205
4,29,195,Missouri,Saline County,22761
4,29,197,Missouri,Schuyler County,4660
4,29,199,Missouri,Scotland County,4902
4,29,201,Missouri,Scott County,38280
4,29,203,Missouri,Shannon County,8166
4,29,205,Missouri,Shelby County,5930
4,29,207,Missouri,Stoddard County,29025
4,29,209,Missouri,Stone County,31952
4,29,211,Missouri,Sullivan County,6089
4,29,213,Missouri,Taney County,55928
4,29,215,Missouri,Texas County,25398
4,29,217,Missouri,Vernon County,20563
4,29,219,Missouri,Warren County,35649
4,29,221,Missouri,Washington County,24730
4,29,223,Missouri,Wayne County,12873
4,29,225,Missouri,Webster County,39592
4,29,227,Missouri,Worth County,2013
4,29,229,Missouri,Wright County,18289
4,29,510,Missouri,St. Louis city,300576
8,30,0,Montana,Montana,1068778
8,30,1,Montana,Beaverhead County,9453
8,30,3,Montana,Big Horn County,13319
8,30,5,Montana,Blaine County,6681
8,30,7,Montana,Broadwater County,6237
8,30,9,Montana,Carbon County,10725
8,30,11,Montana,Carter County,1252
8,30,13,Montana,Cascade County,81366
8,30,15,Montana,Chouteau County,5635
8,30,17,Montana,Custer County,11402
8,30,19,Montana,Daniels County,1690
8,30,21,Montana,Dawson County,8613
8,30,23,Montana,Deer Lodge County,9140
8,30,25,Montana,Fallon County,2846
8,30,27,Montana,Fergus County,11050
8,30,29,Montana,Flathead County,103806
8,30,31,Montana,Gallatin County,114434
8,30,33,Montana,Garfield County,1258
8,30,35,Montana,Glacier County,13753
8,30,37,Montana,Golden Valley County,821
8,30,39,Montana,Granite County,3379
8,30,41,Montana,Hill County,16484
8,30,43,Montana,Jefferson County,12221
8,30,45,Montana,Judith Basin County,2007
8,30,47,Montana,Lake County,30458
8,30,49,Montana,Lewis and Clark County,69432
8,30,51,Montana,Liberty County,2337
8,30,53,Montana,Lincoln County,19980
8,30,55,Montana,McCone County,1664
8,30,57,Montana,Madison County,8600
8,30,59,Montana,Meagher County,1862
8,30,61,Montana,Mineral County,4397
8,30,63,Montana,Missoula County,119600
8,30,65,Montana,Musselshell County,4633
8,30,67,Montana,Park County,16606
8,30,69,Montana,Petroleum County,487
8,30,71,Montana,Phillips County,3954
8,30,73,Montana,Pondera County,5911
8,30,75,Montana,Powder River County,1682
8,30,77,Montana,Powell County,6890
8,30,79,Montana,Prairie County,1077
8,30,81,Montana,Ravalli County,43806
8,30,83,Montana,Richland County,10803
8,30,85,Montana,Roosevelt County,11004
8,30,87,Montana,Rosebud County,8937
8,30,89,Montana,Sanders County,12113
8,30,91,Montana,Sheridan County,3309
8,30,93,Montana,Silver Bow County,34915
8,30,95,Montana,Stillwater County,9642
8,30,97,Montana,Sweet Grass County,3737
8,30,99,Montana,Teton County,6147
8,30,101,Montana,Toole County,4736
8,30,103,Montana,Treasure County,696
8,30,105,Montana,Valley County,7396
8,30,107,Montana,Wheatland County,2126
8,30,109,Montana,Wibaux County,969
8,30,111,Montana,Yellowstone County,161300
4,31,0,Nebraska,Nebraska,1934408
4,31,1,Nebraska,Adams County,31363
4,31,3,Nebraska,Antelope County,6298
4,31,5,Nebraska,Arthur County,463
4,31,7,Nebraska,Banner County,745
4,31,9,Nebraska,Blaine County,465
4,31,11,Nebraska,Boone County,5192
4,31,13,Nebraska,Box Butte County,10783
4,31,15,Nebraska,Boyd County,1919
4,31,17,Nebraska,Brown County,2955
4,31,19,Nebraska,Buffalo County,49659
4,31,21,Nebraska,Burt County,6459
4,31,23,Nebraska,Butler County,8016
4,31,25,Nebraska,Cass County,26248
4,31,27,Nebraska,Cedar County,8402
4,31,29,Nebraska,Chase County,3924
4,31,31,Nebraska,Cherry County,5689
4,31,33,Nebraska,Cheyenne County,8910
4,31,35,Nebraska,Clay County,6203
4,31,37,Nebraska,Colfax County,10709
4,31,39,Nebraska,Cuming County,8846
4,31,41,Nebraska,Custer County,10777
4,31,43,Nebraska,Dakota County,20026
4,31,45,Nebraska,Dawes County,8589
4,31,47,Nebraska,Dawson County,23595
4,31,49,Nebraska,Deuel County,1794
4,31,51,Nebraska,Dixon County,5636
4,31,53,Nebraska,Dodge County,36565
4,31,55,Nebraska,Douglas County,571327
4,31,57,Nebraska,Dundy County,1693
4,31,59,Nebraska,Fillmore County,5462
4,31,61,Nebraska,Franklin County,2979
4,31,63,Nebraska,Frontier County,2627
4,31,65,Nebraska,Furnas County,4676
4,31,67,Nebraska,Gage County,21513
4,31,69,Nebraska,Garden County,1837
4,31,71,Nebraska,Garfield County,1969
4,31,73,Nebraska,Gosper County,1990
4,31,75,Nebraska,Grant County,623
4,31,77,Nebraska,Greeley County,2356
4,31,79,Nebraska,Hall County,61353
4,31,81,Nebraska,Hamilton County,9324
4,31,83,Nebraska,Harlan County,3380
4,31,85,Nebraska,Hayes County,922
4,31,87,Nebraska,Hitchcock County,2762
4,31,89,Nebraska,Holt County,10067
4,31,91,Nebraska,Hooker County,682
4,31,93,Nebraska,Howard County,6445
4,31,95,Nebraska,Jefferson County,7046
4,31,97,Nebraska,Johnson County,5071
4,31,99,Nebraska,Kearney County,6495
4,31,101,Nebraska,Keith County,8034
4,31,103,Nebraska,Keya Paha County,806
4,31,105,Nebraska,Kimball County,3632
4,31,107,Nebraska,Knox County,8332
4,31,109,Nebraska,Lancaster County,319090
4,31,111,Nebraska,Lincoln County,34914
4,31,113,Nebraska,Logan County,748
4,31,115,Nebraska,Loup County,664
4,31,117,Nebraska,McPherson County,494
4,31,119,Nebraska,Madison County,35099
4,31,121,Nebraska,Merrick County,7755
4,31,123,Nebraska,Morrill County,4642
4,31,125,Nebraska,Nance County,3519
4,31,127,Nebraska,Nemaha County,6972
4,31,129,Nebraska,Nuckolls County,4148
4,31,131,Nebraska,Otoe County,16012
4,31,133,Nebraska,Pawnee County,2613
4,31,135,Nebraska,Perkins County,2891
4,31,137,Nebraska,Phelps County,9034
4,31,139,Nebraska,Pierce County,7148
4,31,141,Nebraska,Platte County,33470
4,31,143,Nebraska,Polk County,5213
4,31,145,Nebraska,Red Willow County,10724
4,31,147,Nebraska,Richardson County,7865
4,31,149,Nebraska,Rock County,1357
4,31,151,Nebraska,Saline County,14224
4,31,153,Nebraska,Sarpy County,187196
4,31,155,Nebraska,Saunders County,21578
4,31,157,Nebraska,Scotts Bluff County,35618
4,31,159,Nebraska,Seward County,17284
4,31,161,Nebraska,Sheridan County,5246
4,31,163,Nebraska,Sherman County,3001
4,31,165,Nebraska,Sioux County,1166
4,31,167,Nebraska,Stanton County,5920
4,31,169,Nebraska,Thayer County,5003
4,31,171,Nebraska,Thomas County,722
4,31,173,Nebraska,Thurston County,7224
4,31,175,Nebraska,Valley County,4158
4,31,177,Nebraska,Washington County,20729
4,31,179,Nebraska,Wayne County,9385
4,31,181,Nebraska,Webster County,3487
4,31,183,Nebraska,Wheeler County,783
4,31,185,Nebraska,York County,13679
8,32,0,Nevada,Nevada,3080156
8,32,1,Nevada,Churchill County,24909
8,32,3,Nevada,Clark County,2266715
8,32,5,Nevada,Douglas County,48905
8,32,7,Nevada,Elko County,52778
8,32,9,Nevada,Esmeralda County,873
8,32,11,Nevada,Eureka County,2029
8,32,13,Nevada,Humboldt County,16831
8,32,15,Nevada,Lander County,5532
8,32,17,Nevada,Lincoln County,5183
8,32,19,Nevada,Lyon County,57510
8,32,21,Nevada,Mineral County,4505
8,32,23,Nevada,Nye County,46523
8,32,27,Nevada,Pershing County,6725
8,32,29,Nevada,Storey County,4123
8,32,31,Nevada,Washoe County,471519
8,32,33,Nevada,White Pine County,9580
8,32,510,Nevada,Carson City,55916
1,33,0,New Hampshire,New Hampshire,1359711
1,33,1,New Hampshire,Belknap County,61303
1,33,3,New Hampshire,Carroll County,48910
1,33,5,New Hampshire,Cheshire County,76085
1,33,7,New Hampshire,Coos County,31563
1,33,9,New Hampshire,Grafton County,89886
1,33,11,New Hampshire,Hillsborough County,417025
1,33,13,New Hampshire,Merrimack County,151391
1,33,15,New Hampshire,Rockingham County,309769
1,33,17,New Hampshire,Strafford County,130633
1,33,19,New Hampshire,Sullivan County,43146
2,34,0,New Jersey,New Jersey,8882190
2,34,1,New Jersey,Atlantic County,263670
2,34,3,New Jersey,Bergen County,932202
2,34,5,New Jersey,Burlington County,445349
2,34,7,New Jersey,Camden County,506471
2,34,9,New Jersey,Cape May County,92039
2,34,11,New Jersey,Cumberland County,149527
2,34,13,New Jersey,Essex County,798975
2,34,15,New Jersey,Gloucester County,291636
2,34,17,New Jersey,Hudson County,672391
2,34,19,New Jersey,Hunterdon County,124371
2,34,21,New Jersey,Mercer County,367430
2,34,23,New Jersey,Middlesex County,825062
2,34,25,New Jersey,Monmouth County,618795
2,34,27,New Jersey,Morris County,491845
2,34,29,New Jersey,Ocean County,607186
2,34,31,New Jersey,Passaic County,501826
2,34,33,New Jersey,Salem County,62385
2,34,35,New Jersey,Somerset County,328934
2,34,37,New Jersey,Sussex County,140488
2,34,39,New Jersey,Union County,556341
2,34,41,New Jersey,Warren County,105267
8,35,0,New Mexico,New Mexico,2096829
8,35,1,New Mexico,Bernalillo County,679121
8,35,3,New Mexico,Catron County,3527
8,35,5,New Mexico,Chaves County,64615
8,35,6,New Mexico,Cibola County,26675
8,35,7,New Mexico,Colfax County,11941
8,35,9,New Mexico,Curry County,48954
8,35,11,New Mexico,De Baca County,1748
8,35,13,New Mexico,Doña Ana County,218195
8,35,15,New Mexico,Eddy County,58460
8,35,17,New Mexico,Grant County,26998
8,35,19,New Mexico,Guadalupe County,4300
8,35,21,New Mexico,Harding County,625
8,35,23,New Mexico,Hidalgo County,4198
8,35,25,New Mexico,Lea County,71070
8,35,27,New Mexico,Lincoln County,19572
8,35,28,New Mexico,Los Alamos County,19369
8,35,29,New Mexico,Luna County,23709
8,35,31,New Mexico,McKinley County,71367
8,35,33,New Mexico,Mora County,4521
8,35,35,New Mexico,Otero County,67490
8,35,37,New Mexico,Quay County,8253
8,35,39,New Mexico,Rio Arriba County,38921
8,35,41,New Mexico,Roosevelt County,18500
8,35,43,New Mexico,Sandoval County,146748
8,35,45,New Mexico,San Juan County,123958
8,35,47,New Mexico,San Miguel County,27277
8,35,49,New Mexico,Santa Fe County,150358
8,35,51,New Mexico,Sierra County,10791
8,35,53,New Mexico,Socorro County,16637
8,35,55,New Mexico,Taos County,32723
8,35,57,New Mexico,Torrance County,15461
8,35,59,New Mexico,Union County,4059
8,35,61,New Mexico,Valencia County,76688
2,36,0,New York,New York,19453561
2,36,1,New York,Albany County,305506
2,36,3,New York,Allegany County,46091
